order_id,customer_id,order_date,channel,total_amount,shipping_postal_code
1000,144,2025-08-06,web,69.13,10434
1001,490,2025-05-28,web,283.42,74832
1002,134,2024-05-22,web,237.75,74205
1003,455,2025-10-15,mobile,67.11,43324
1004,61,2024-08-24,bopis,384.92,19023
1005,158,2025-11-06,web,310.56,27668
1006,3,2025-12-04,store,36.36,36320
1007,252,2025-08-10,mobile,639.26,98217
1008,344,2024-10-29,mobile,273.01,85947
1009,435,2025-12-17,bopis,124.38,65363
1010,480,2024-06-30,web,1029.67,75556
1011,450,2025-06-15,web,294.11,49537
1012,4,2025-12-30,web,105.94,52155
1013,370,2025-10-18,mobile,481.53,20029
1014,304,2025-06-09,bopis,35.72,29019
1015,445,2025-06-15,bopis,69.18,61424
1016,485,2025-11-04,mobile,458.69,69519
1017,137,2024-11-07,web,51.27,47475
1018,7,2025-08-19,web,683.82,94722
1019,147,2024-11-26,mobile,304.39,10653
1020,167,2024-07-10,web,169.96,58341
1021,459,2024-06-14,web,116.43,51722
1022,323,2025-04-08,web,897.08,31599
1023,41,2024-01-24,web,603.98,40141
1024,367,2025-06-03,web,41.08,93583
1025,114,2025-10-07,web,355.84,25446
1026,36,2025-01-14,mobile,81.38,24285
1027,123,2025-07-26,web,201.9,37184
1028,161,2024-02-07,mobile,138.75,25760
1029,223,2025-11-02,web,69.11,79062
1030,241,2025-04-23,mobile,165.18,97907
1031,91,2024-01-21,web,85.98,66126
1032,370,2024-03-02,mobile,82.16,72455
1033,174,2024-10-24,bopis,77.28,72734
1034,228,2024-08-13,mobile,201.9,91991
1035,305,2024-06-04,web,1747.86,88908
1036,316,2024-12-02,store,1757.51,61361
1037,81,2024-07-20,web,453.42,74300
1038,116,2024-01-24,store,55.48,70161
1039,151,2025-03-30,mobile,76.32,33493
1040,181,2025-03-15,web,1278.52,60128
1041,98,2025-12-10,store,39.9,98957
1042,241,2024-03-06,store,39.64,42527
1043,134,2025-07-22,mobile,630.66,26787
1044,1,2025-08-04,web,873.93,27372
1045,47,2025-08-09,store,838.61,29184
1046,95,2025-06-16,web,309.41,86061
1047,164,2025-03-26,web,40.32,68851
1048,42,2024-09-07,web,340.26,32400
1049,159,2025-01-30,bopis,298.64,18845
1050,197,2025-05-10,bopis,36.36,50374
1051,377,2024-11-08,mobile,123.39,55314
1052,13,2025-08-31,web,227.11,39357
1053,410,2025-08-17,web,1028.05,15203
1054,243,2025-01-18,web,129.41,87051
1055,349,2024-11-19,web,59.0,41122
1056,74,2024-11-24,store,479.4,83912
1057,359,2025-12-03,mobile,203.45,14956
1058,65,2024-04-08,web,149.57,50141
1059,467,2024-10-23,web,227.42,84533
1060,374,2024-02-24,bopis,156.31,39665
1061,100,2025-02-16,web,185.41,16574
1062,8,2024-01-18,bopis,192.57,39615
