product_id,sku,category,subcategory,unit_price,return_window_days
1001,APP-TOP-1001,apparel,tops,36.36,14
1002,APP-TOP-1002,apparel,tops,67.11,60
1003,APP-TOP-1003,apparel,tops,20.69,14
1004,APP-TOP-1004,apparel,tops,69.11,60
1005,APP-TOP-1005,apparel,tops,81.69,30
1006,APP-TOP-1006,apparel,tops,35.72,60
1007,APP-TOP-1007,apparel,tops,72.27,60
1008,APP-TOP-1008,apparel,tops,41.08,14
1009,APP-BOT-1009,apparel,bottoms,69.18,14
1010,APP-BOT-1010,apparel,bottoms,29.41,30
1011,APP-BOT-1011,apparel,bottoms,39.64,30
1012,APP-BOT-1012,apparel,bottoms,44.35,30
1013,APP-BOT-1013,apparel,bottoms,86.41,14
1014,APP-BOT-1014,apparel,bottoms,67.55,30
1015,APP-BOT-1015,apparel,bottoms,84.52,30
1016,APP-BOT-1016,apparel,bottoms,77.28,14
1017,APP-DRE-1017,apparel,dresses,51.27,30
1018,APP-DRE-1018,apparel,dresses,82.3,14
1019,APP-DRE-1019,apparel,dresses,39.27,14
1020,APP-DRE-1020,apparel,dresses,44.34,30
1021,APP-DRE-1021,apparel,dresses,59.85,60
1022,APP-DRE-1022,apparel,dresses,69.13,14
1023,APP-DRE-1023,apparel,dresses,32.62,60
1024,APP-DRE-1024,apparel,dresses,36.24,14
1025,ELE-PHO-1025,electronics,phones,66.38,60
1026,ELE-PHO-1026,electronics,phones,647.46,30
1027,ELE-PHO-1027,electronics,phones,504.49,30
1028,ELE-PHO-1028,electronics,phones,520.87,30
1029,ELE-PHO-1029,electronics,phones,1060.03,14
1030,ELE-PHO-1030,electronics,phones,72.15,60
1031,ELE-PHO-1031,electronics,phones,244.09,60
1032,ELE-PHO-1032,electronics,phones,319.94,60
1033,ELE-LAP-1033,electronics,laptops,873.93,30
1034,ELE-LAP-1034,electronics,laptops,479.4,14
1035,ELE-LAP-1035,electronics,laptops,100.58,30
1036,ELE-LAP-1036,electronics,laptops,354.4,30
1037,ELE-LAP-1037,electronics,laptops,756.71,60
1038,ELE-LAP-1038,electronics,laptops,1082.55,14
1039,ELE-LAP-1039,electronics,laptops,194.84,14
1040,ELE-LAP-1040,electronics,laptops,1029.67,60
1041,ELE-ACC-1041,electronics,accessories,201.9,14
1042,ELE-ACC-1042,electronics,accessories,227.11,30
1043,ELE-ACC-1043,electronics,accessories,947.82,60
1044,ELE-ACC-1044,electronics,accessories,586.31,30
1045,ELE-ACC-1045,electronics,accessories,392.31,30
1046,ELE-ACC-1046,electronics,accessories,639.26,14
1047,ELE-ACC-1047,electronics,accessories,76.32,60
1048,ELE-ACC-1048,electronics,accessories,749.58,60
1049,HOM-LIG-1049,home,lighting,99.06,14
1050,HOM-LIG-1050,home,lighting,138.13,60
1051,HOM-LIG-1051,home,lighting,138.75,60
1052,HOM-LIG-1052,home,lighting,150.08,14
1053,HOM-LIG-1053,home,lighting,81.38,60
1054,HOM-LIG-1054,home,lighting,34.3,30
1055,HOM-LIG-1055,home,lighting,185.41,14
1056,HOM-LIG-1056,home,lighting,203.45,14
1057,HOM-KIT-1057,home,kitchen,194.48,14
1058,HOM-KIT-1058,home,kitchen,120.13,14
1059,HOM-KIT-1059,home,kitchen,147.27,30
1060,HOM-KIT-1060,home,kitchen,86.84,60
1061,HOM-KIT-1061,home,kitchen,156.46,60
1062,HOM-KIT-1062,home,kitchen,247.15,14
1063,HOM-KIT-1063,home,kitchen,21.75,30
1064,HOM-KIT-1064,home,kitchen,227.42,60
1065,HOM-DEC-1065,home,decor,123.39,60
1066,HOM-DEC-1066,home,decor,155.63,60
1067,HOM-DEC-1067,home,decor,196.26,14
1068,HOM-DEC-1068,home,decor,78.07,60
1069,HOM-DEC-1069,home,decor,160.51,14
1070,HOM-DEC-1070,home,decor,66.74,60
1071,HOM-DEC-1071,home,decor,215.5,14
1072,HOM-DEC-1072,home,decor,156.31,30
1073,BEA-SKI-1073,beauty,skincare,116.43,60
1074,BEA-SKI-1074,beauty,skincare,39.9,30
1075,BEA-SKI-1075,beauty,skincare,96.79,60
1076,BEA-SKI-1076,beauty,skincare,77.95,60
1077,BEA-SKI-1077,beauty,skincare,28.81,60
1078,BEA-SKI-1078,beauty,skincare,55.06,60
1079,BEA-SKI-1079,beauty,skincare,61.11,60
1080,BEA-SKI-1080,beauty,skincare,13.23,30
1081,BEA-MAK-1081,beauty,makeup,58.16,14
1082,BEA-MAK-1082,beauty,makeup,52.97,60
1083,BEA-MAK-1083,beauty,makeup,90.43,60
1084,BEA-MAK-1084,beauty,makeup,59.0,30
1085,BEA-MAK-1085,beauty,makeup,46.31,30
1086,BEA-MAK-1086,beauty,makeup,91.38,30
1087,BEA-MAK-1087,beauty,makeup,37.24,14
1088,BEA-MAK-1088,beauty,makeup,41.46,30
1089,BEA-FRA-1089,beauty,fragrance,35.23,30
1090,BEA-FRA-1090,beauty,fragrance,42.32,30
1091,BEA-FRA-1091,beauty,fragrance,55.48,30
1092,BEA-FRA-1092,beauty,fragrance,77.3,30
1093,BEA-FRA-1093,beauty,fragrance,62.3,30
1094,BEA-FRA-1094,beauty,fragrance,85.98,14
1095,BEA-FRA-1095,beauty,fragrance,77.08,30
1096,BEA-FRA-1096,beauty,fragrance,20.16,30
