return_id,order_item_id,customer_id,return_date,return_reason,return_channel,condition_received,disposition,refund_amount,restocking_fee,processing_cost,recovered_value,cycle_time_hours,fraud_flagged
9001,4,134,2024-05-27,not_as_described,web,used,refurbish,34.3,0.0,22.57,13.72,34,True
9002,6,455,2025-11-22,changed_mind,web,new_unopened,restock,67.11,0.0,21.61,46.98,101,False
9003,14,344,2024-12-11,changed_mind,bopis,new_unopened,restock,100.58,0.0,18.85,70.41,41,False
9004,18,480,2024-07-31,changed_mind,bopis,new_unopened,restock,1029.67,0.0,22.97,720.77,98,False
9005,24,304,2025-07-06,changed_mind,store,new_unopened,restock,35.72,0.0,4.02,25.0,11,False
9006,35,459,2024-06-16,not_as_described,web,damaged,liquidate,116.43,0.0,23.38,11.64,16,True
9007,42,367,2025-06-23,changed_mind,bopis,new_unopened,restock,41.08,0.0,3.06,28.76,102,False
9008,47,123,2025-08-17,changed_mind,store,new_unopened,restock,201.9,0.0,5.12,141.33,61,False
9009,48,161,2024-03-21,changed_mind,bopis,new_unopened,restock,138.75,0.0,11.52,97.12,103,False
9010,51,91,2024-02-19,changed_mind,bopis,new_unopened,restock,85.98,0.0,5.07,60.19,110,False
9011,53,174,2024-11-22,changed_mind,bopis,new_unopened,restock,77.28,0.0,10.73,54.1,100,False
9012,62,181,2025-03-16,changed_mind,mobile,used,restock,1278.52,0.0,22.58,894.96,98,True
9013,65,134,2025-08-26,changed_mind,web,new_unopened,restock,44.35,0.0,18.29,31.04,151,False
9014,68,47,2025-09-01,changed_mind,web,new_unopened,restock,247.15,0.0,23.09,173.0,155,False
9015,80,13,2025-10-12,changed_mind,web,new_unopened,restock,227.11,0.0,14.17,158.98,101,False
9016,87,74,2024-12-22,changed_mind,web,new_unopened,restock,479.4,0.0,17.95,335.58,135,False
9017,92,374,2024-03-17,changed_mind,mobile,new_unopened,restock,156.31,0.0,3.74,109.42,94,False
9018,96,266,2025-09-13,changed_mind,web,new_unopened,restock,100.58,0.0,10.22,70.41,83,False
9019,99,6,2024-06-03,changed_mind,web,new_unopened,restock,67.55,0.0,6.61,47.28,23,False
9020,104,129,2025-09-10,changed_mind,store,new_unopened,restock,77.28,0.0,3.63,54.1,137,False
9021,107,428,2024-04-14,changed_mind,mobile,new_unopened,restock,109.08,0.0,13.32,76.36,98,False
9022,108,34,2025-02-02,changed_mind,store,new_unopened,restock,194.84,0.0,10.56,136.39,90,False
9023,112,285,2024-09-17,changed_mind,mobile,new_unopened,restock,59.85,0.0,5.28,41.89,41,False
9024,115,32,2025-06-15,duplicate,bopis,damaged,destroy,61.11,0.0,8.24,6.11,14,True
9025,119,116,2024-05-09,changed_mind,bopis,new_unopened,restock,44.35,0.0,14.78,31.04,27,False
9026,122,325,2024-07-18,changed_mind,bopis,new_unopened,restock,215.5,0.0,19.6,150.85,67,False
9027,123,26,2025-11-23,changed_mind,store,new_unopened,restock,44.35,0.0,20.42,31.04,117,False
9028,126,288,2024-09-05,changed_mind,mobile,new_unopened,restock,91.38,0.0,9.72,63.97,74,False
9029,145,64,2024-04-02,changed_mind,store,new_unopened,restock,708.8,0.0,23.58,496.16,73,False
9030,147,73,2024-12-18,changed_mind,web,new_unopened,restock,69.13,0.0,3.67,48.39,73,False
9031,152,412,2025-06-21,changed_mind,web,new_unopened,restock,321.02,0.0,6.44,224.71,78,False
9032,154,271,2025-01-26,changed_mind,web,new_unopened,restock,120.13,0.0,24.6,84.09,8,False
9033,162,201,2024-09-04,changed_mind,store,new_unopened,restock,77.08,0.0,6.16,53.96,155,False
9034,165,375,2025-06-14,changed_mind,bopis,new_unopened,restock,1278.52,0.0,5.46,894.96,128,False
9035,167,462,2024-01-04,changed_mind,web,new_unopened,restock,150.08,0.0,18.53,105.06,19,False
9036,175,11,2025-10-23,changed_mind,store,new_unopened,restock,749.58,0.0,3.49,524.71,56,False
9037,180,429,2025-09-03,changed_mind,web,new_unopened,restock,55.48,0.0,12.71,38.84,46,False
9038,186,265,2024-07-14,changed_mind,store,new_unopened,restock,469.38,0.0,10.0,328.57,59,False
9039,224,45,2024-02-28,changed_mind,bopis,new_unopened,restock,174.48,0.0,13.97,122.14,105,False
9040,233,283,2024-01-18,changed_mind,mobile,new_unopened,restock,126.96,0.0,3.64,88.87,27,False
9041,250,12,2025-04-02,changed_mind,web,new_unopened,restock,185.41,0.0,5.45,129.79,156,False
9042,262,130,2024-05-20,changed_mind,bopis,new_unopened,restock,586.31,0.0,15.53,410.42,7,False
9043,265,288,2025-11-04,changed_mind,store,new_unopened,restock,162.76,0.0,3.0,113.93,111,False
9044,268,160,2024-08-13,changed_mind,bopis,new_unopened,restock,639.26,0.0,10.55,447.48,76,False
9045,274,495,2024-12-05,changed_mind,web,new_unopened,restock,44.34,0.0,14.75,31.04,71,False
9046,281,360,2025-04-23,changed_mind,web,new_unopened,restock,77.08,0.0,13.7,53.96,87,False
9047,283,21,2025-04-07,changed_mind,store,new_unopened,restock,160.51,0.0,7.04,112.36,7,False
9048,285,117,2025-01-04,changed_mind,store,new_unopened,restock,96.79,0.0,16.64,67.75,76,False
9049,289,237,2024-10-24,changed_mind,store,new_unopened,restock,138.13,0.0,18.83,96.69,49,False
9050,291,52,2024-04-11,changed_mind,bopis,new_unopened,restock,82.3,0.0,7.9,57.61,13,False
9051,294,152,2025-07-05,changed_mind,mobile,new_unopened,restock,13.23,0.0,6.76,9.26,118,False
9052,302,42,2025-02-12,changed_mind,store,new_unopened,restock,81.69,0.0,9.72,57.18,73,False
9053,309,282,2024-09-10,changed_mind,web,new_unopened,restock,392.31,0.0,16.83,274.62,10,False
9054,316,172,2025-07-10,changed_mind,mobile,new_unopened,restock,116.32,0.0,17.53,81.42,102,False
9055,328,431,2025-07-16,changed_mind,mobile,new_unopened,restock,81.38,0.0,5.68,56.97,122,False
9056,351,101,2025-01-20,changed_mind,web,new_unopened,restock,34.3,0.0,18.14,24.01,56,False
9057,352,409,2024-03-04,changed_mind,bopis,new_unopened,restock,117.81,0.0,16.88,82.47,21,False
9058,355,468,2024-03-11,changed_mind,web,new_unopened,restock,21.75,0.0,16.43,15.22,165,False
9059,356,232,2025-09-19,changed_mind,web,new_unopened,restock,123.39,0.0,14.97,86.37,75,False
9060,369,185,2025-09-07,changed_mind,web,new_unopened,restock,1438.2,0.0,11.07,1006.74,142,False
9061,374,38,2024-12-06,changed_mind,web,new_unopened,restock,34.3,0.0,8.31,24.01,12,False
9062,389,459,2024-06-03,changed_mind,store,new_unopened,restock,156.46,0.0,10.75,109.52,117,False
9063,394,420,2025-04-08,changed_mind,store,new_unopened,restock,55.06,0.0,17.18,38.54,29,False
9064,395,316,2025-03-02,changed_mind,bopis,new_unopened,restock,1041.74,0.0,11.52,729.22,31,False
9065,398,108,2025-01-15,changed_mind,bopis,new_unopened,restock,504.49,0.0,14.31,353.14,45,False
9066,401,364,2025-12-18,changed_mind,mobile,new_unopened,restock,36.36,0.0,13.92,25.45,69,False
9067,404,434,2024-12-25,changed_mind,bopis,new_unopened,restock,873.93,0.0,7.72,611.75,59,False
9068,409,240,2025-03-07,not_as_described,web,used,donate,72.15,0.0,22.71,7.22,51,True
9069,410,498,2024-07-10,changed_mind,mobile,new_unopened,restock,185.41,0.0,12.91,129.79,32,False
9070,412,242,2024-01-25,changed_mind,store,new_unopened,restock,91.38,0.0,19.49,63.97,150,False
9071,418,99,2025-04-10,changed_mind,bopis,new_unopened,restock,479.4,0.0,17.9,335.58,6,False
9072,420,400,2024-11-21,changed_mind,store,new_unopened,restock,35.23,0.0,17.96,24.66,124,False
9073,423,443,2024-04-12,not_as_described,web,opened_unused,donate,35.23,0.0,7.6,3.52,145,True
9074,432,442,2024-05-31,changed_mind,store,new_unopened,restock,77.95,0.0,9.93,54.56,149,False
9075,433,456,2025-03-07,changed_mind,mobile,new_unopened,restock,156.31,0.0,12.59,109.42,33,False
9076,435,116,2024-02-25,changed_mind,web,new_unopened,restock,81.38,0.0,13.43,56.97,36,False
9077,437,492,2025-10-29,changed_mind,web,new_unopened,restock,84.52,0.0,18.48,59.16,95,False
9078,439,429,2025-01-21,changed_mind,mobile,new_unopened,restock,155.63,0.0,4.2,108.94,21,False
9079,442,384,2024-04-26,changed_mind,store,new_unopened,restock,196.26,0.0,23.96,137.38,105,False
9080,447,429,2024-05-20,changed_mind,web,new_unopened,restock,39.9,0.0,19.5,27.93,115,False
9081,450,98,2024-01-28,changed_mind,store,new_unopened,restock,392.31,0.0,16.69,274.62,108,False
9082,451,481,2024-02-23,changed_mind,web,new_unopened,restock,44.35,0.0,16.42,31.04,120,False
9083,453,407,2024-03-20,changed_mind,store,new_unopened,restock,69.18,0.0,16.3,48.43,51,False
9084,454,309,2024-10-15,changed_mind,store,new_unopened,restock,36.36,0.0,23.84,25.45,117,False
9085,468,21,2025-01-11,changed_mind,store,new_unopened,restock,67.11,0.0,4.17,46.98,6,False
9086,469,135,2024-05-10,duplicate,bopis,opened_unused,liquidate,1082.55,0.0,14.2,108.25,61,True
9087,473,195,2024-08-22,changed_mind,mobile,new_unopened,restock,59.0,0.0,15.16,41.3,53,False
9088,477,27,2025-04-29,changed_mind,store,new_unopened,restock,78.07,0.0,21.07,54.65,103,False
9089,483,342,2025-07-10,changed_mind,mobile,new_unopened,restock,66.38,0.0,5.25,46.47,123,False
9090,486,187,2024-12-26,changed_mind,mobile,new_unopened,restock,66.38,0.0,21.98,46.47,82,False
9091,490,284,2024-10-04,changed_mind,mobile,new_unopened,restock,504.49,0.0,4.42,353.14,140,False
9092,491,180,2025-11-11,changed_mind,bopis,new_unopened,restock,138.13,0.0,13.66,96.69,165,False
9093,493,493,2025-04-20,changed_mind,bopis,new_unopened,restock,1029.67,0.0,20.76,720.77,70,False
9094,495,462,2025-10-08,changed_mind,mobile,new_unopened,restock,196.26,0.0,10.22,137.38,163,False
9095,496,430,2024-09-16,changed_mind,web,new_unopened,restock,42.32,0.0,18.09,29.62,99,False
9096,500,329,2025-06-19,changed_mind,bopis,new_unopened,restock,44.35,0.0,21.87,31.04,76,False
9097,502,440,2025-04-11,changed_mind,web,new_unopened,restock,43.5,0.0,23.56,30.45,118,False
9098,512,182,2024-11-10,changed_mind,bopis,new_unopened,restock,124.38,0.0,24.66,87.07,139,False
9099,515,257,2024-06-04,changed_mind,web,new_unopened,restock,52.97,0.0,5.57,37.08,71,False
9100,522,296,2024-08-06,changed_mind,web,new_unopened,restock,504.49,0.0,9.26,353.14,81,False
